Entity,Code,Year,Annual COâ‚‚ emissions
Australia,AUS,2000,350007970
Australia,AUS,2001,357783680
Australia,AUS,2002,362536540
Australia,AUS,2003,369629660
Australia,AUS,2004,383159040
Australia,AUS,2005,386176000
Australia,AUS,2006,392359970
Australia,AUS,2007,399475000
Australia,AUS,2008,404840480
Australia,AUS,2009,407093950
Australia,AUS,2010,405131000
Australia,AUS,2011,403858080
Australia,AUS,2012,406196670
Australia,AUS,2013,399067520
Australia,AUS,2014,392728900
Australia,AUS,2015,401496600
Australia,AUS,2016,410388100
Australia,AUS,2017,413817700
Australia,AUS,2018,415591170
Australia,AUS,2019,415769800
Australia,AUS,2020,399183900
Australia,AUS,2021,389019520
Australia,AUS,2022,384362140
Australia,AUS,2023,382972000
Brazil,BRA,2000,340183000
Brazil,BRA,2001,346165980
Brazil,BRA,2002,347765020
Brazil,BRA,2003,344645000
Brazil,BRA,2004,361434000
Brazil,BRA,2005,364371000
Brazil,BRA,2006,368871000
Brazil,BRA,2007,390573000
Brazil,BRA,2008,412638000
Brazil,BRA,2009,389775000
Brazil,BRA,2010,440269020
Brazil,BRA,2011,462580000
Brazil,BRA,2012,498309000
Brazil,BRA,2013,532418020
Brazil,BRA,2014,557901000
Brazil,BRA,2015,529353020
Brazil,BRA,2016,492748000
Brazil,BRA,2017,498266430
Brazil,BRA,2018,478379100
Brazil,BRA,2019,473389800
Brazil,BRA,2020,445208100
Brazil,BRA,2021,498016860
Brazil,BRA,2022,483840580
Brazil,BRA,2023,486470080
Canada,CAN,2000,566261400
Canada,CAN,2001,558360450
Canada,CAN,2002,563728500
Canada,CAN,2003,580792450
Canada,CAN,2004,579162750
Canada,CAN,2005,572854800
Canada,CAN,2006,568173250
Canada,CAN,2007,591888640
Canada,CAN,2008,575769900
Canada,CAN,2009,542810750
Canada,CAN,2010,554734300
Canada,CAN,2011,563320400
Canada,CAN,2012,564221200
Canada,CAN,2013,568853800
Canada,CAN,2014,566468860
Canada,CAN,2015,565644100
Canada,CAN,2016,558871600
Canada,CAN,2017,569602940
Canada,CAN,2018,579078850
Canada,CAN,2019,582024960
Canada,CAN,2020,526581600
Canada,CAN,2021,540311600
Canada,CAN,2022,550611650
Canada,CAN,2023,549299000
China,CHN,2000,3649226500
China,CHN,2001,3728509700
China,CHN,2002,4103046400
China,CHN,2003,4841118700
China,CHN,2004,5217351000
China,CHN,2005,5882106400
China,CHN,2006,6494330400
China,CHN,2007,6983547400
China,CHN,2008,7501497300
China,CHN,2009,7891078000
China,CHN,2010,8620576000
China,CHN,2011,9532332000
China,CHN,2012,9779292000
China,CHN,2013,9956329000
China,CHN,2014,9990257000
China,CHN,2015,9863457000
China,CHN,2016,9762714000
China,CHN,2017,10006343000
China,CHN,2018,10332993000
China,CHN,2019,10713984000
China,CHN,2020,10905693000
China,CHN,2021,11447913000
China,CHN,2022,11350538000
China,CHN,2023,11902503000
Germany,DEU,2000,898975740
Germany,DEU,2001,915254800
Germany,DEU,2002,898834300
Germany,DEU,2003,894501060
Germany,DEU,2004,876569860
Germany,DEU,2005,867880600
Germany,DEU,2006,886434300
Germany,DEU,2007,846116160
Germany,DEU,2008,856607400
Germany,DEU,2009,789950700
Germany,DEU,2010,826679940
Germany,DEU,2011,804513800
Germany,DEU,2012,814090240
Germany,DEU,2013,831742850
Germany,DEU,2014,792578750
Germany,DEU,2015,800844500
Germany,DEU,2016,798013630
Germany,DEU,2017,784593860
Germany,DEU,2018,760046340
Germany,DEU,2019,709826700
Germany,DEU,2020,648356860
Germany,DEU,2021,678777300
Germany,DEU,2022,671471550
Germany,DEU,2023,596151360
India,IND,2000,986444700
India,IND,2001,1000526700
India,IND,2002,1032139800
India,IND,2003,1067736960
India,IND,2004,1133827600
India,IND,2005,1194592400
India,IND,2006,1292484600
India,IND,2007,1392506000
India,IND,2008,1489437400
India,IND,2009,1612216300
India,IND,2010,1677337200
India,IND,2011,1764712400
India,IND,2012,1925699700
India,IND,2013,1995098100
India,IND,2014,2148343800
India,IND,2015,2234219500
India,IND,2016,2354658000
India,IND,2017,2426606800
India,IND,2018,2593057800
India,IND,2019,2612888000
India,IND,2020,2421552000
India,IND,2021,2674221800
India,IND,2022,2831166200
India,IND,2023,3062324500
Japan,JPN,2000,1263993200
Japan,JPN,2001,1249393400
Japan,JPN,2002,1278994700
Japan,JPN,2003,1287494900
Japan,JPN,2004,1282894700
Japan,JPN,2005,1290296200
Japan,JPN,2006,1267295400
Japan,JPN,2007,1302996200
Japan,JPN,2008,1232195700
Japan,JPN,2009,1163392600
Japan,JPN,2010,1214798100
Japan,JPN,2011,1264796700
Japan,JPN,2012,1305997700
Japan,JPN,2013,1315297800
Japan,JPN,2014,1263805700
Japan,JPN,2015,1223199400
Japan,JPN,2016,1203184000
Japan,JPN,2017,1187484500
Japan,JPN,2018,1142480900
Japan,JPN,2019,1105478000
Japan,JPN,2020,1040483400
Japan,JPN,2021,1061905300
Japan,JPN,2022,1032686800
Japan,JPN,2023,988784700
Russia,RUS,2000,1479142400
Russia,RUS,2001,1515647100
Russia,RUS,2002,1506788000
Russia,RUS,2003,1537018400
Russia,RUS,2004,1543957000
Russia,RUS,2005,1562576900
Russia,RUS,2006,1623002000
Russia,RUS,2007,1623781200
Russia,RUS,2008,1652064500
Russia,RUS,2009,1545034400
Russia,RUS,2010,1632783200
Russia,RUS,2011,1685909500
Russia,RUS,2012,1701268400
Russia,RUS,2013,1640437400
Russia,RUS,2014,1639959200
Russia,RUS,2015,1638675300
Russia,RUS,2016,1634885000
Russia,RUS,2017,1666121200
Russia,RUS,2018,1712494300
Russia,RUS,2019,1705030900
Russia,RUS,2020,1632929300
Russia,RUS,2021,1711993300
Russia,RUS,2022,1802190000
Russia,RUS,2023,1815924700
United Kingdom,GBR,2000,569033660
United Kingdom,GBR,2001,577970560
United Kingdom,GBR,2002,560273200
United Kingdom,GBR,2003,571618750
United Kingdom,GBR,2004,573429760
United Kingdom,GBR,2005,570338370
United Kingdom,GBR,2006,567845600
United Kingdom,GBR,2007,559566460
United Kingdom,GBR,2008,544932400
United Kingdom,GBR,2009,494107700
United Kingdom,GBR,2010,511904580
United Kingdom,GBR,2011,469713300
United Kingdom,GBR,2012,487476770
United Kingdom,GBR,2013,477611260
United Kingdom,GBR,2014,438807070
United Kingdom,GBR,2015,422460800
United Kingdom,GBR,2016,399430140
United Kingdom,GBR,2017,387367140
United Kingdom,GBR,2018,379729760
United Kingdom,GBR,2019,364753280
United Kingdom,GBR,2020,326263200
United Kingdom,GBR,2021,344510080
United Kingdom,GBR,2022,313834780
United Kingdom,GBR,2023,305146340
United States,USA,2000,6010135600
United States,USA,2001,5907739600
United States,USA,2002,5946308000
United States,USA,2003,6010145300
United States,USA,2004,6112655000
United States,USA,2005,6132183000
United States,USA,2006,6052686000
United States,USA,2007,6130123000
United States,USA,2008,5915118600
United States,USA,2009,5480725500
United States,USA,2010,5679715300
United States,USA,2011,5546116000
United States,USA,2012,5344086000
United States,USA,2013,5480156700
United States,USA,2014,5528681000
United States,USA,2015,5376473000
United States,USA,2016,5252932000
United States,USA,2017,5212162000
United States,USA,2018,5377797000
United States,USA,2019,5262145000
United States,USA,2020,4714628000
United States,USA,2021,5032213000
United States,USA,2022,5078871000
United States,USA,2023,4911391000